Time,Channel A,Channel B
(ms),(V),(V)

15.35999991,-0.80910671,-0.81521040
15.40095991,-0.71810055,-0.72447890
15.44191991,-0.74541461,-0.76076543
15.48287991,-0.76360363,-0.76982939
15.52383991,-0.69991148,-0.69725639
15.56479991,-0.71810055,-0.71541488
15.60575991,-0.80001223,-0.81521040
15.64671990,-0.73632008,-0.74260688
15.68767990,-0.65440840,-0.65187538
15.72863990,-0.76360363,-0.77892393
15.76959990,-0.74541461,-0.75170141
15.81055990,-0.76360363,-0.76076543
15.85151990,-0.80910671,-0.81521040
15.89247990,-0.80001223,-0.80614644
15.93343990,-0.79091769,-0.78798789
15.97439990,-0.84551531,-0.85149693
16.01535990,-0.85460985,-0.86059147
16.05631990,-0.81820124,-0.82427442
16.09727990,-0.87282938,-0.86965543
16.13823990,-0.87282938,-0.87871945
16.17919990,-0.84551531,-0.85149693
16.22015990,-0.87282938,-0.87871945
16.26111990,-0.91830194,-0.92410046
16.30207990,-0.90920746,-0.90594196
16.34303990,-0.88192391,-0.88778347
16.38399990,-0.83642077,-0.83336896
16.42495990,-0.92742699,-0.92410046
16.46591990,-0.84551531,-0.84243292
16.50687990,-0.69991148,-0.69725639
16.54783990,-0.78182316,-0.77892393
16.58879990,-0.80001223,-0.80614644
16.62975990,-0.59981078,-0.59743035
16.67071990,-0.76360363,-0.76982939
16.71167990,-0.70900601,-0.71541488
16.75263990,-0.59981078,-0.61558884
16.79359990,-0.61799979,-0.62465286
16.83455990,-0.63621938,-0.64281136
16.87551990,-0.60890532,-0.61558884
16.91647990,-0.62709433,-0.63374734
16.95743990,-0.52699363,-0.53392130
16.99839990,-0.48149052,-0.48857081
17.03935990,-0.52699363,-0.54301584
17.08031990,-0.50880456,-0.51579332
17.12127990,-0.43601793,-0.44318980
17.16223990,-0.52699363,-0.53392130
17.20319990,-0.51789910,-0.52485734
17.24415990,-0.40870386,-0.42506179
17.28511989,-0.44511247,-0.45225379
17.32607989,-0.40870386,-0.41596729
17.36703989,-0.33588672,-0.35245827
17.40799989,-0.37229529,-0.38874477
17.44895989,-0.34501174,-0.34339428
17.48991989,-0.26310006,-0.27988526
17.53087989,-0.33588672,-0.35245827
17.57183989,-0.33588672,-0.34339428
17.61279989,-0.21759698,-0.22544023
17.65375989,-0.29041412,-0.28894925
17.69471989,-0.27219459,-0.27988526
17.73567989,-0.21759698,-0.22544023
17.77663989,-0.15390484,-0.15283670
17.81759989,-0.21759698,-0.21634571
17.85855989,-0.19028291,-0.18912320
17.89951989,-0.19028291,-0.19821772
17.94047989,-0.16299936,-0.16190070
17.98143989,-0.12659077,-0.12561418
18.02239989,-0.13568529,-0.13470870
18.06335989,-0.10840175,-0.09839167
18.10431989,-0.11749626,-0.11655018
18.14527989,-0.07199316,-0.06210517
18.18623989,-0.04467910,-0.04394665
18.22719989,-0.03558458,-0.02581866
18.26815989,-0.05380413,-0.05304117
18.30911989,-0.07199316,-0.06210517
18.35007989,-0.05380413,-0.05304117
18.39103989,-0.08108768,-0.07116917
18.43199989,-0.08108768,-0.08026368
18.47295989,-0.07199316,-0.06210517
18.51391989,-0.01739555,-0.01672414
18.55487989,0.00079348,0.01046785
18.59583989,-0.01739555,-0.02581866
18.63679989,-0.00830103,-0.00766015
18.67775989,0.01898251,0.01953185
18.71871989,0.05539110,0.04675436
18.75967989,0.00079348,0.00140385
18.80063989,-0.00830103,-0.00766015
18.84159989,0.06448561,0.06488235
18.88255989,0.06448561,0.05581835
18.92351988,0.05539110,0.04675436
18.96447988,0.10089419,0.09210486
19.00543988,0.17368084,0.16470839
19.04639988,0.16458632,0.16470839
19.08735988,0.17368084,0.16470839
19.12831988,0.21008942,0.21005890
19.16927988,0.24649800,0.23728141
19.21023988,0.25559253,0.24637593
19.25119988,0.27378154,0.24637593
19.29215988,0.28287607,0.26450393
19.33311988,0.29200110,0.27359843
19.37407988,0.30109560,0.26450393
19.41503988,0.31928465,0.26450393
19.45599988,0.31928465,0.27359843
19.49695988,0.32837915,0.27359843
19.53791988,0.31928465,0.27359843
19.57887988,0.31019014,0.26450393
19.61983988,0.29200110,0.27359843
19.66079988,0.28287607,0.27359843
19.70175988,0.29200110,0.26450393
19.74271988,0.32837915,0.27359843
19.78367988,0.31019014,0.26450393
19.82463988,0.31928465,0.27359843
19.86559988,0.31928465,0.28266242
19.90655988,0.31928465,0.28266242
19.94751988,0.31928465,0.28266242
19.98847988,0.31928465,0.28266242
20.02943988,0.31928465,0.28266242
20.07039988,0.31019014,0.28266242
20.11135988,0.31019014,0.29172644
20.15231988,0.29200110,0.29172644
20.19327988,0.28287607,0.28266242
20.23423988,0.27378154,0.27359843
20.27519988,0.26468703,0.26450393
20.31615988,0.25559253,0.26450393
20.35711988,0.27378154,0.27359843
20.39807988,0.25559253,0.26450393
20.43903988,0.25559253,0.26450393
20.47999988,0.25559253,0.25543994
20.52095988,0.26468703,0.26450393
20.56191988,0.24649800,0.24637593
20.60287987,0.25559253,0.26450393
